URL,Method code,Filename,Function,Commit Count
https://github.com/AbdullahWali/Battle-Chess-Game,"public void move( int curX, int curY, int tarX, int tarY ){
        Piece selectedPiece = gameBoard.getPiece(curX,curY);

        if (selectedPiece == null)
            return;
        if (!selectedPiece.isValid(curX,curY,tarX, tarY))
            return;
        if (getTurn() != selectedPiece.getColor())
            return;
        if(checkPath(curX, curY, tarX, tarY))
            return;

        gameBoard.movePiece(curX, curY, tarX, tarY);
        endTurn(); 
    }",GameManager.java,move,5
https://github.com/Aghajari/Chess,"private void move(ChessPiece piece, int endX, int endY) {
        AlgebraicNotation.MoveData moveData =
                new AlgebraicNotation.MoveData(
                        piece,
                        endX,
                        endY
                );

        ChessPiece replace = getPiece(endX, endY);
        if (replace != null && replace != ChessPiece.UNDEFINED) {
            onCapture(replace);
            moveData.setCapture(true);

        }",ChessBoard.java,move,1
https://github.com/AlexWang18/Chess,"public void move() {

        if (piecekilled != null) {
                end.setPiece(piecemoved);
                start.setPiece(null); 
                System.out.println(piecekilled.getColor()+""'s "" + piecekilled.getType().name() + "" has been captured by ""+piecemoved.getColor()+""'s "" + piecemoved.getType().name());
                if(piecekilled.getType() != PieceType.KING)
                    piecekilled.setType(PieceType.CAPTURED); //changing this memory boxes type effectively should i do this could have repruccssions l8r
        }",Move.java,move,49
https://github.com/AndreaZavatta/OOP21-Chess,"public boolean move(final Position pos, final Chessboard board) {
        final List<Position> l = this.getAdvancedControls().moveInCheck(board, this, this.getAllPossiblePositions(this, board));
        return l.contains(pos);
    }",AbstractPiece.java,move,1
https://github.com/AnirudhM1/CS-F213-Chess,"
    public Move(Square start, Square end) {
        startSquare = start;
        endSquare = end;
    }",Move.java,Move,7
https://github.com/AnotherGoat/teal-chess,"public record Move(MoveType type, int source, int destination, @Nullable PromotionChoice promotionChoice) {

    /**
     * The two steps done during a white short castle.
     * The first one moves the king 2 steps to the right, the second one moves the rook to protect the king.
     */
    public static final List<Move> WHITE_SHORT_CASTLE_STEPS =
            List.of(new Move(SHORT_CASTLE, e1, g1), new Move(NORMAL, h1, f1));
    /**
     * The two steps done during a white long castle.
     * The first one moves the king 3 steps to the left, the second one moves the rook to protect the king.
     */
    public static final List<Move> WHITE_LONG_CASTLE_STEPS =
            List.of(new Move(LONG_CASTLE, e1, c1), new Move(NORMAL, a1, d1));
    /**
     * The two steps done during a black short castle.
     * The first one moves the king 2 steps to the right, the second one moves the rook to protect the king.
     */
    public static final List<Move> BLACK_SHORT_CASTLE_STEPS =
            List.of(new Move(SHORT_CASTLE, e8, g8), new Move(NORMAL, h8, f8));
    /**
     * The two steps done during a black long castle.
     * The first one moves the king 3 steps to the left, the second one moves the rook to protect the king.
     */
    public static final List<Move> BLACK_LONG_CASTLE_STEPS =
            List.of(new Move(LONG_CASTLE, e8, c8), new Move(NORMAL, a8, d8));

    public Move(MoveType type, int source, int destination) {
        this(type, source, destination, null);
    }",Move.java,Move,138
https://github.com/CSC207-2022F-UofT/course-project-chmess,"
    public Move (Piece piece, int[] destination, boolean isPawnDouble, boolean isCapture) {
        this.piece = piece;
        this.destination = destination;
        this.isPawnDouble = isPawnDouble;
        this.isCapture = isCapture;
    }",Move.java,Move,19
https://github.com/ColinGJohnson/multiplayer-chess,"public boolean move(boolean whitePieces, String moveCode) {
        Player source = (whitePieces) ? white : black;
        return movePiece(source, moveCode, board);
    }",ChessGame.java,move,4
https://github.com/DAMNinc/damnchess,"public void move(Piece piece, byte to) {
		byte pieceToMove = piece.getType();
		Move lastMove = boardData.movePiece(piece, to);
		String history = generateHistory(chessFrame.getChessboard().big2small(lastMove.getFrom()), chessFrame.getChessboard().big2small(lastMove.getTo()), pieceToMove, lastMove.getTakenPiece());
		lastMove.setMoveHistory(history);
		chessFrame.addHistorik(history);
		chessFrame.getChessboard().reloadBoard();
	}",Datalink.java,move,2
https://github.com/Dpk417182/ChessJavaEdition,"
    private Move(final Board board,
                 final Piece movedPiece,
                 final int destinationCoordinate) {
        this.board = board;
        this.movedPiece = movedPiece;
        this.destinationCoordinate = destinationCoordinate;
        this.isFirstMove = movedPiece.isFirstMove();
    }",Move.java,Move,8
